Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
1,2098,4,3,1,1982,Rural,Fair,Yes,292038
2,2035,3,3,3,1950,Downtown,Poor,Yes,338696
3,500,1,2,1,1992,Industrial,Poor,Yes,90522
4,914,3,3,2,2011,Urban,Poor,No,284342
5,805,1,1,1,1985,Rural,Fair,Yes,102960
6,2139,4,3,2,1962,Suburban,Good,No,372138
7,1931,5,3,1,1968,Industrial,Good,No,289388
8,3204,7,4,2,1993,Countryside,Poor,No,429862
9,1393,2,2,2,2013,Urban,Good,No,408127
10,2197,5,4,1,1998,Seaside,Fair,Yes,592118
11,2300,4,2,2,2014,Suburban,Fair,Yes,479780
12,1709,3,4,2,2006,Downtown,Excellent,Yes,592934
13,2686,4,2,2,1982,Suburban,Fair,Yes,444184
14,1736,3,3,2,1994,Mountain,Good,Yes,402577
15,1646,4,4,2,1952,Industrial,Fair,Yes,208896
16,1142,2,1,1,2006,Downtown,Fair,No,313750
17,648,1,1,1,2004,Seaside,Poor,Yes,168815
18,2660,5,4,2,2007,Mountain,Good,Yes,806392
19,1318,3,3,2,1975,Urban,Poor,Yes,347735
20,853,2,1,2,1972,Rural,Poor,Yes,106416
21,1248,4,2,1,1977,Mountain,Fair,No,331080
22,1424,4,3,1,2025,Seaside,Excellent,No,499989
23,935,1,2,2,2019,Industrial,Excellent,No,220183
24,5558,7,5,3,1992,Seaside,Excellent,Yes,1802580
25,3811,7,6,1,2013,Seaside,Excellent,Yes,1374360
26,2050,4,3,2,2007,Seaside,Fair,No,332074
27,2525,5,4,2,1985,Countryside,Fair,Yes,446848
28,1793,3,4,2,2023,Countryside,Good,No,354147
29,928,1,1,1,1987,Industrial,Poor,No,111816
30,1111,2,1,1,2017,Urban,Good,Yes,428024
31,2343,5,5,3,2004,Urban,Good,Yes,657163
32,1700,3,4,1,2007,Industrial,Good,Yes,253141
33,3188,4,3,2,1964,Seaside,Fair,Yes,480477
34,2379,3,4,2,2017,Industrial,Good,Yes,333059
35,2618,7,4,2,2015,Mountain,Good,Yes,830329
36,1360,2,2,2,1971,Suburban,Poor,Yes,202172
37,2859,6,3,3,2013,Mountain,Good,Yes,795562
38,1851,3,2,1,1975,Mountain,Poor,No,244221
